id,property_type,neighborhood,original_price,sale_price,days_to_sell,agent
74,Condo,Capitol Hill,1328721,1386350,21,Tom Taylor
75,Apartment,South Lake Union,811403,966209,18,Tom Jones
76,Apartment,West Seattle,1489659,1454882,25,Emily Johnson
77,Apartment,Downtown,1032411,1222827,47,Mike Taylor
78,Condo,Downtown,791417,874783,111,Tom Wilson
79,Apartment,South Lake Union,957853,974608,66,Lisa Jones
80,House,South Lake Union,840707,994633,32,Emily Wilson
81,House,Ballard,1055327,1133446,32,Tom Jones
82,Apartment,Downtown,714128,814446,22,Chris Smith
83,House,Ballard,423637,387735,67,David Miller
84,House,Beacon Hill,1410003,1487501,112,Sarah Johnson
85,Apartment,Ballard,871361,979675,72,John Miller
86,Apartment,Capitol Hill,1476995,1480190,34,Mike Brown
87,Apartment,Ballard,397930,365493,110,Jane Johnson
88,Condo,Downtown,877444,1005676,71,Sarah Williams
89,House,West Seattle,1022738,1167086,2,Mike Smith
90,Apartment,South Lake Union,1129619,1020187,34,John Brown
91,Apartment,Downtown,1394779,1550758,8,Mike Moore
92,Condo,Downtown,886378,947061,84,Lisa Johnson
93,Condo,Ballard,1426019,1317305,15,David Williams
94,Apartment,Ballard,334439,329044,35,Jane Williams
95,Apartment,Capitol Hill,1078677,1273642,86,Emily Smith
96,Apartment,West Seattle,465337,450916,67,David Johnson
97,Condo,West Seattle,1218644,1253218,37,Chris Johnson
98,Apartment,Downtown,861920,981373,65,Emily Moore
99,House,Northgate,531448,542696,33,David Miller
100,Apartment,Northgate,1158074,1128936,30,Lisa Jones
101,Apartment,Northgate,1342884,1548279,68,Lisa Smith
102,Apartment,Ballard,1371132,1563857,66,David Williams
103,Condo,South Lake Union,1216608,1220045,87,Sarah Smith
104,Condo,Beacon Hill,646890,734600,9,Tom Jones
105,Apartment,Ballard,521489,560749,42,Laura Taylor
106,Condo,Beacon Hill,380309,412985,50,John Brown
107,House,West Seattle,409590,401689,71,Chris Miller
108,Apartment,West Seattle,1480307,1607474,42,Sarah Taylor
109,Apartment,South Lake Union,475040,465282,72,John Miller
110,Apartment,Beacon Hill,383627,400573,34,Emily Johnson
111,Apartment,Capitol Hill,1398845,1349607,65,Lisa Jones
112,Condo,West Seattle,903625,869135,38,David Miller
113,Apartment,Northgate,1487171,1761769,101,Sarah Taylor
114,House,Downtown,1485182,1505519,3,Emily Wilson
115,Condo,Northgate,1062071,1148336,33,Jane Taylor
116,Apartment,Beacon Hill,496380,593985,53,Tom Jones
117,Condo,Beacon Hill,566551,524993,1,Emily Johnson
118,Apartment,Capitol Hill,723464,765327,56,David Brown
119,House,Northgate,803669,785132,69,Lisa Johnson
120,House,Northgate,831114,995695,66,Lisa Jones
121,Apartment,Ballard,1176861,1101771,15,David Johnson
122,Apartment,Ballard,1235252,1216951,2,Mike Jones
123,Condo,Capitol Hill,1410861,1283226,68,Jane Johnson
124,Condo,Northgate,526608,565327,38,Sarah Taylor
125,Apartment,South Lake Union,1410561,1280533,89,Jane Smith
126,Apartment,Ballard,1413880,1573549,98,Chris Wilson
127,House,Capitol Hill,1134147,1146329,23,Emily Wilson
128,Condo,South Lake Union,763542,903962,102,John Williams
129,Condo,Capitol Hill,1128081,1180609,120,Mike Miller
130,Condo,South Lake Union,567663,551658,100,John Brown
131,Apartment,Northgate,348461,390878,104,Mike Taylor
132,Condo,Ballard,448991,435646,100,Lisa Jones
133,Condo,Ballard,364833,405246,108,John Davis
134,Apartment,Ballard,1153901,1270598,55,Emily Wilson
135,Condo,South Lake Union,1330394,1280904,74,Lisa Jones
136,Condo,Beacon Hill,1349197,1357339,38,Tom Jones
137,House,West Seattle,1259786,1444964,108,Mike Miller
138,Apartment,Capitol Hill,762985,866182,25,Sarah Moore
139,House,Northgate,495301,579191,93,Chris Smith
140,Condo,West Seattle,1356475,1624381,101,David Williams
141,Apartment,Beacon Hill,778435,919415,100,Emily Johnson
142,Condo,Downtown,652552,779653,116,Sarah Wilson
143,Condo,Beacon Hill,840396,771290,30,Emily Wilson
144,Apartment,West Seattle,880811,964700,10,Chris Smith
145,Condo,West Seattle,1166017,1332400,107,Sarah Wilson
146,House,Ballard,737568,758882,14,Emily Johnson
147,Apartment,Beacon Hill,724607,855311,37,John Davis
148,Apartment,Northgate,340190,346137,117,Jane Taylor
149,House,Downtown,1166203,1096647,85,Laura Jones
150,Condo,Capitol Hill,783397,923079,119,Chris Johnson
151,House,West Seattle,1262248,1492602,34,Jane Davis
152,Apartment,West Seattle,646842,727389,60,Tom Jones
153,Condo,Capitol Hill,1310455,1448811,9,Emily Davis
154,Condo,West Seattle,833554,975810,102,Sarah Williams
155,Apartment,Beacon Hill,737352,680123,59,David Brown
156,Condo,Ballard,627976,665666,77,John Davis
157,Condo,Ballard,763171,858787,73,Laura Taylor
158,Condo,West Seattle,1262614,1508649,84,Emily Johnson
159,Apartment,South Lake Union,1107005,1122629,39,Sarah Taylor
160,House,Northgate,1033098,1120608,34,David Williams
161,Condo,Downtown,1052724,956214,84,Lisa Jones
162,Apartment,Northgate,624992,637172,120,John Johnson
163,Apartment,Ballard,381838,393011,73,Jane Brown
164,Apartment,Capitol Hill,757138,811194,4,Tom Wilson
165,Condo,Beacon Hill,1259975,1458766,43,Jane Taylor
166,House,West Seattle,719511,800558,71,Emily Wilson
167,Apartment,South Lake Union,1405072,1525021,112,Chris Williams
168,Condo,Northgate,729036,733511,42,Lisa Davis
169,Apartment,Beacon Hill,384941,378592,3,Laura Jones
170,Apartment,West Seattle,834849,938499,94,Emily Wilson
171,House,Capitol Hill,1423714,1484742,80,Tom Jones
172,House,Downtown,1182767,1326691,85,Lisa Jones
173,House,Ballard,833852,792242,74,Mike Taylor
174,Apartment,West Seattle,1391495,1474431,8,Lisa Johnson
175,Condo,West Seattle,550718,610563,41,Chris Smith
176,Condo,Beacon Hill,470480,498061,88,Lisa Jones
177,Condo,South Lake Union,1030227,963003,21,Chris Williams
178,Apartment,Ballard,749631,817283,101,Tom Williams
179,House,Capitol Hill,738667,762165,59,Mike Johnson
180,Condo,Beacon Hill,1047534,1097925,18,Emily Brown
181,Condo,Beacon Hill,666064,739574,105,Tom Jones
182,Condo,Ballard,1145690,1357779,4,Mike Wilson
183,Condo,West Seattle,1085376,1284983,84,David Wilson
184,Apartment,Capitol Hill,845509,928248,106,Emily Miller
185,Condo,Capitol Hill,685838,714106,100,Lisa Moore
186,Apartment,Ballard,481493,515873,92,Sarah Moore
187,Apartment,Northgate,1164255,1331253,45,Mike Brown
188,House,Downtown,1388207,1372949,31,Emily Wilson
189,Condo,West Seattle,691334,672708,46,Tom Jones
190,Apartment,Ballard,952165,1002125,99,Jane Taylor
191,Apartment,Northgate,1003619,1092489,39,Lisa Jones
192,House,Downtown,1288362,1396632,60,Sarah Taylor
193,Apartment,Capitol Hill,1410679,1650077,112,Lisa Johnson
194,Apartment,Downtown,590221,605053,48,Sarah Moore
195,House,Beacon Hill,324904,302975,117,Tom Williams
196,Condo,Beacon Hill,1333407,1418990,11,Laura Jones
197,Condo,West Seattle,1002529,1056821,37,Emily Williams
198,Apartment,Beacon Hill,338684,328377,65,Tom Jones
199,Apartment,Northgate,543150,588282,108,Chris Taylor
200,House,Northgate,1351081,1466035,104,Lisa Johnson
201,Apartment,Northgate,1098776,1134545,19,Chris Taylor
202,Condo,Ballard,1288718,1437184,31,Chris Miller
203,House,Ballard,552762,569111,24,Mike Miller
204,House,Ballard,473401,554689,62,Chris Taylor
205,Condo,Beacon Hill,1037362,1038254,39,Lisa Moore
206,House,Capitol Hill,586997,606025,16,Tom Smith
207,Condo,South Lake Union,1070924,1060111,75,Laura Moore
208,Condo,Beacon Hill,454110,420141,10,Chris Miller
209,House,West Seattle,1496912,1639073,45,Lisa Moore
210,Apartment,West Seattle,1284361,1190952,78,Mike Taylor
211,Apartment,Ballard,842410,788298,45,Chris Smith
212,Condo,Ballard,436827,516877,118,Emily Moore
213,Apartment,Capitol Hill,430864,438435,53,Tom Williams
214,Apartment,West Seattle,1334759,1531821,16,Lisa Johnson
215,House,Downtown,1472549,1603023,24,Laura Taylor
216,House,Northgate,1411575,1393895,113,Sarah Davis
217,Apartment,Capitol Hill,707209,663961,27,Mike Johnson
218,House,West Seattle,661543,781099,48,Jane Johnson
219,Apartment,South Lake Union,714434,674382,58,Tom Moore
220,Condo,Northgate,955266,997314,29,Mike Smith
221,Condo,Beacon Hill,1200350,1167629,21,Sarah Jones
222,Apartment,Ballard,514535,565610,91,John Johnson
223,House,Ballard,346792,338152,93,Emily Miller
224,House,Ballard,361836,388873,100,Tom Jones
225,Condo,Beacon Hill,784025,797092,35,Laura Moore
226,Condo,Beacon Hill,1337418,1591203,25,Emily Jones
227,House,Beacon Hill,704088,721057,29,Chris Brown
228,House,Beacon Hill,1157639,1347267,51,Emily Davis
229,House,Capitol Hill,1332547,1527715,27,David Miller
230,Condo,Ballard,434187,454672,12,Laura Davis
231,Apartment,Beacon Hill,1376557,1487284,61,Sarah Moore
232,Apartment,Downtown,657736,756481,71,Emily Smith
233,Apartment,Downtown,924879,1045108,106,Laura Williams
234,Apartment,Northgate,1471596,1629206,31,Mike Miller
235,House,South Lake Union,1096087,1250802,41,Chris Miller
236,Condo,Northgate,819627,850102,57,David Wilson
237,Apartment,Capitol Hill,1112717,1310261,73,Chris Smith
238,Condo,Downtown,1127393,1349097,62,Mike Davis
239,House,Ballard,1407880,1340063,60,Laura Jones
240,Condo,Ballard,433046,450096,21,Tom Jones
241,Apartment,South Lake Union,1448793,1313515,95,Emily Moore
242,Apartment,West Seattle,932022,854069,25,Laura Brown
243,Condo,Downtown,1184775,1152153,87,Laura Williams
244,Apartment,Capitol Hill,780028,730998,63,Lisa Moore
245,Condo,Downtown,368522,354020,98,Mike Brown
246,Condo,Downtown,1134512,1099641,37,Emily Wilson
247,House,Beacon Hill,1347308,1348295,58,John Davis
248,House,West Seattle,771573,833878,68,John Brown
249,Condo,South Lake Union,825142,786295,86,Chris Jones
250,House,Northgate,619658,640697,50,Emily Smith
251,Apartment,Capitol Hill,1081214,1001162,15,Chris Brown
252,Apartment,Northgate,905197,1073687,66,John Davis
253,Condo,Ballard,780160,885269,46,David Williams
254,Apartment,Beacon Hill,464180,497387,16,Sarah Smith
255,Condo,Downtown,360349,374355,13,Laura Smith
256,Apartment,Capitol Hill,1356876,1426101,111,Tom Moore
257,Condo,Beacon Hill,1479004,1399029,34,Chris Taylor
258,House,Capitol Hill,1464664,1488172,75,Mike Johnson
259,Apartment,Beacon Hill,699328,788759,49,Mike Davis
260,House,Beacon Hill,624532,603176,28,Emily Johnson
261,Apartment,West Seattle,438464,456098,24,Emily Smith
262,Condo,West Seattle,851273,840189,88,Laura Jones
263,Condo,West Seattle,1439292,1316783,104,David Williams
264,Condo,Beacon Hill,410664,384049,100,Chris Miller
265,Apartment,Capitol Hill,408382,404955,24,David Smith
266,Apartment,Northgate,1151966,1126804,85,David Williams
267,House,Capitol Hill,649148,648576,66,Tom Moore
268,Apartment,Capitol Hill,1154329,1346712,63,Chris Taylor
269,Condo,Ballard,559432,505014,63,Emily Wilson
270,Condo,Capitol Hill,624339,625004,90,Emily Miller
271,Apartment,Beacon Hill,956479,911379,19,Emily Brown
272,Condo,West Seattle,451793,491432,50,Jane Smith
273,Apartment,West Seattle,449559,431302,46,Emily Johnson
274,House,Northgate,477391,504119,88,Emily Wilson
275,Apartment,Downtown,1345232,1315180,70,Mike Moore
276,Condo,Ballard,561080,535774,106,Tom Taylor
277,Apartment,Downtown,1382298,1264062,81,Lisa Moore
278,House,Capitol Hill,1460257,1695748,111,Mike Davis
279,House,Ballard,371441,416168,46,Jane Smith
280,House,West Seattle,1271929,1381928,108,Mike Jones
281,Apartment,Beacon Hill,1181810,1256288,109,Tom Taylor
282,House,Ballard,1301032,1410453,40,Sarah Davis
283,Condo,Capitol Hill,308387,321682,94,John Miller
284,Condo,West Seattle,1447276,1679519,37,Mike Brown
285,Condo,Northgate,1106180,1165672,19,Jane Brown
286,Apartment,Beacon Hill,487694,468994,119,Mike Johnson
287,House,West Seattle,1355822,1225331,8,Chris Miller
288,Apartment,Northgate,352877,340478,99,David Miller
289,Condo,Downtown,827606,879840,72,David Johnson
290,House,Capitol Hill,1117345,1058430,87,Mike Johnson
291,House,West Seattle,997297,964546,68,Lisa Jones
292,Condo,Beacon Hill,776906,916437,31,Tom Smith
293,Condo,Beacon Hill,640235,742344,90,Tom Williams
294,Apartment,Downtown,632283,701732,61,John Davis
295,House,South Lake Union,827832,810804,76,Mike Davis
296,Apartment,South Lake Union,1382052,1412659,60,Laura Moore
297,Condo,Capitol Hill,640315,722944,92,Laura Wilson
298,Condo,West Seattle,728324,656409,8,Chris Brown
299,Apartment,Ballard,1119537,1044458,20,Emily Miller
300,Condo,South Lake Union,1212161,1201891,39,Chris Miller
301,Condo,West Seattle,1356967,1594645,74,Emily Wilson
302,Apartment,Northgate,653319,761336,79,Laura Jones
303,Condo,Downtown,432655,454277,26,Sarah Taylor
304,Apartment,South Lake Union,717475,730047,101,John Williams
305,Apartment,Northgate,1127677,1324301,78,Laura Taylor
306,House,Northgate,323082,387054,21,Emily Davis
307,Condo,Capitol Hill,1469233,1334690,94,Tom Wilson
308,Condo,Capitol Hill,1117885,1095721,118,Jane Wilson
309,Apartment,South Lake Union,1376557,1465371,92,Laura Davis
310,House,Downtown,921841,838520,17,Sarah Taylor
311,Apartment,Capitol Hill,1311248,1228489,57,John Williams
312,House,South Lake Union,670943,726604,72,Sarah Moore
313,Condo,Capitol Hill,499363,570428,47,Tom Smith
314,Condo,Capitol Hill,1300035,1217628,88,Chris Smith
315,Condo,Capitol Hill,1044291,1169037,38,Sarah Moore
316,House,Northgate,703115,827834,90,John Williams
317,Condo,Northgate,440342,525623,100,Laura Wilson
318,Apartment,Downtown,1352659,1355836,59,Tom Wilson
319,Apartment,Ballard,1187598,1301056,67,Tom Jones
320,Condo,Northgate,1047158,1016489,41,Emily Jones
321,House,West Seattle,985962,1109036,86,Laura Taylor
322,House,Beacon Hill,789215,896522,100,Mike Taylor
323,Apartment,Capitol Hill,1196047,1353574,53,Lisa Jones
324,Apartment,South Lake Union,1278417,1488194,99,Sarah Williams
325,Apartment,Capitol Hill,342935,336121,67,Tom Jones
326,Condo,Downtown,1270347,1506154,56,David Williams
327,Apartment,Beacon Hill,503949,580608,17,Jane Johnson
328,Condo,Northgate,1153534,1347482,36,Chris Jones
329,Apartment,Ballard,539213,573655,100,Emily Wilson
330,House,Northgate,1422851,1410537,46,David Miller
331,House,Ballard,636420,591327,11,David Miller
332,House,Northgate,715989,728122,84,Jane Smith
333,Apartment,Capitol Hill,1052935,1143881,59,Laura Taylor
334,Apartment,Northgate,1226527,1146524,98,David Miller
335,House,Capitol Hill,719133,818833,79,Chris Smith
336,Condo,West Seattle,843303,916750,26,David Williams
337,Condo,South Lake Union,1172648,1187760,84,David Wilson
338,Apartment,Ballard,696166,759960,91,Lisa Moore
339,House,Northgate,745419,763437,67,Tom Williams
340,Condo,West Seattle,537189,619549,3,Jane Taylor
341,Condo,Beacon Hill,1279487,1443021,17,Chris Smith
342,Apartment,West Seattle,610174,576575,107,Tom Wilson
343,Condo,West Seattle,1116827,1063449,7,Jane Smith
344,House,Northgate,1232039,1467468,50,Mike Johnson
345,Apartment,Beacon Hill,1401857,1484136,36,Mike Johnson
346,Apartment,West Seattle,1208994,1316189,4,Lisa Smith
347,Apartment,Northgate,484624,473709,120,Emily Williams
348,Condo,Capitol Hill,401093,419243,94,Mike Miller
349,Apartment,Capitol Hill,461518,419093,94,Chris Miller
350,House,Capitol Hill,1440812,1356198,106,Lisa Miller
351,House,South Lake Union,542465,588517,94,Tom Jones
352,Apartment,Capitol Hill,744591,831026,112,Emily Johnson
353,Apartment,Capitol Hill,844046,884318,25,Lisa Smith
354,House,Downtown,1073946,1263413,88,Lisa Johnson
355,Apartment,Northgate,1178690,1414008,85,Tom Williams
356,House,South Lake Union,422081,396381,106,Mike Taylor
357,Apartment,West Seattle,1357439,1607190,109,Emily Davis
358,Apartment,Capitol Hill,1278903,1495860,40,Mike Davis
359,Apartment,Ballard,895970,844453,110,Laura Johnson
360,House,Ballard,1359925,1524742,120,Chris Wilson
361,House,Ballard,671059,609126,13,John Miller
362,Apartment,Capitol Hill,898002,974575,44,Chris Miller
363,Condo,Ballard,960155,924325,72,Chris Jones
364,Condo,Beacon Hill,722339,707522,22,Tom Wilson
365,Apartment,Downtown,892641,877285,56,Chris Taylor
366,Apartment,Beacon Hill,535248,592589,26,Emily Moore
367,Apartment,Ballard,491731,506411,17,Laura Jones
368,House,Beacon Hill,1415188,1471572,18,Lisa Moore
369,Apartment,South Lake Union,537473,639047,92,Chris Miller
370,Condo,South Lake Union,377719,395059,9,David Williams
371,House,Northgate,759494,725378,22,Jane Johnson
372,Condo,West Seattle,1428127,1464081,77,Emily Brown
373,Apartment,Ballard,400885,478885,96,Lisa Wilson
374,Apartment,Capitol Hill,1195958,1173164,80,Sarah Taylor
375,Condo,Downtown,822016,928921,57,Chris Williams
376,House,Ballard,307416,336878,88,Sarah Moore
377,Apartment,Capitol Hill,840582,766735,18,Emily Davis
378,Condo,Downtown,1466484,1480345,64,Mike Davis
379,Apartment,West Seattle,1026568,926552,27,Laura Smith
380,Condo,South Lake Union,1467878,1344721,104,John Moore
381,Condo,Northgate,609715,661156,57,Laura Jones
382,Condo,Capitol Hill,589798,558608,94,Tom Williams
383,Condo,Ballard,771123,717934,112,David Davis
384,Condo,Beacon Hill,1233555,1254126,38,Laura Johnson
385,Condo,Northgate,476357,495351,54,Emily Miller
386,Apartment,Downtown,706606,687346,75,Chris Taylor
387,Condo,Northgate,530078,529631,106,Mike Miller
388,Condo,Ballard,846713,962538,77,Laura Johnson
389,Condo,Beacon Hill,834428,811410,72,Emily Wilson
390,Condo,West Seattle,1137668,1076064,116,Mike Jones
391,House,Northgate,933831,947902,26,David Williams
392,House,Capitol Hill,925408,964650,15,Mike Moore
393,House,South Lake Union,1451555,1733032,40,Tom Smith
394,Apartment,Northgate,491096,585843,73,Sarah Wilson
395,Apartment,West Seattle,1470107,1416349,15,Tom Davis
396,House,South Lake Union,1120804,1232442,57,John Moore
397,House,Ballard,874147,1002170,68,Tom Moore
398,Condo,Beacon Hill,444925,439850,6,Laura Brown
399,House,Northgate,396761,386056,10,Chris Miller
400,Condo,Capitol Hill,1152546,1366603,27,Tom Davis
401,Apartment,Northgate,743121,780319,83,Emily Johnson
402,Condo,Ballard,359119,378160,45,John Taylor
403,Condo,South Lake Union,703225,706557,117,Chris Taylor
404,House,West Seattle,676834,777748,49,Sarah Moore
405,House,Northgate,892386,900789,58,Lisa Moore
406,House,Capitol Hill,929605,1016087,10,Mike Moore
407,Condo,Ballard,990486,1132032,115,Mike Davis
408,House,Capitol Hill,436647,426360,59,John Williams
409,House,Northgate,879074,905269,51,David Wilson
410,Apartment,Beacon Hill,1301060,1335639,72,Sarah Brown
411,Condo,Ballard,1428557,1322565,30,John Wilson
412,Condo,Northgate,1265520,1183443,26,Sarah Moore
413,Apartment,Beacon Hill,430448,500092,108,Tom Smith
414,Condo,Northgate,319947,375210,26,David Brown
415,House,Ballard,1409178,1564356,73,John Davis
416,Condo,Downtown,668167,658039,25,Chris Jones
417,Condo,Northgate,695178,695415,104,David Wilson
418,Apartment,Capitol Hill,406856,374711,45,Laura Moore
419,House,Capitol Hill,1440526,1620064,6,Jane Taylor
420,Condo,Northgate,1470830,1378117,55,David Davis
421,Apartment,Beacon Hill,1408645,1394279,16,David Davis
422,House,Downtown,1043034,1139339,4,Laura Williams
423,Condo,Beacon Hill,1002319,970273,80,Laura Taylor
424,Apartment,Capitol Hill,972630,1091693,32,John Brown
425,House,Ballard,1288420,1397836,85,Lisa Moore
426,Apartment,Downtown,1411429,1670331,45,Jane Davis
427,Apartment,Downtown,1228485,1242570,28,Mike Williams
428,Condo,Northgate,980502,1012699,74,David Taylor
429,Apartment,Ballard,1221621,1166542,62,Chris Miller
430,Apartment,Northgate,333643,309139,54,John Taylor
431,House,Northgate,317962,374094,64,Lisa Moore
432,Apartment,Northgate,974161,884930,111,John Brown
433,Apartment,Downtown,1489030,1420605,116,Emily Jones
434,House,Northgate,1045127,1035400,92,Tom Smith
435,House,Downtown,691361,702907,106,Laura Smith
436,House,Northgate,634542,623789,66,John Johnson
437,Apartment,Downtown,391354,353384,11,Mike Taylor
438,Condo,Northgate,968189,901307,80,Laura Johnson
439,Apartment,South Lake Union,564399,603880,58,Laura Jones
440,Apartment,South Lake Union,934178,1016610,107,Chris Miller
441,Condo,West Seattle,496138,579996,102,Lisa Wilson
442,Apartment,South Lake Union,569906,661973,51,Sarah Moore
443,Apartment,Ballard,566931,654254,19,Chris Johnson
444,Apartment,West Seattle,355108,320024,104,Laura Jones
445,Apartment,Capitol Hill,567761,528096,25,Mike Smith
446,House,Capitol Hill,520161,539154,60,Tom Jones
447,House,Capitol Hill,485751,568423,27,John Wilson
448,Apartment,Northgate,914212,929080,9,Chris Smith
449,House,Downtown,1343241,1344657,65,Chris Moore
450,House,Beacon Hill,927656,1034474,101,Lisa Wilson
451,Condo,South Lake Union,402818,372120,58,Jane Johnson
452,Condo,Beacon Hill,1348782,1358511,69,Emily Wilson
453,House,Northgate,1031734,1035376,106,Emily Johnson
454,House,Northgate,424610,406980,43,Sarah Davis
455,Apartment,South Lake Union,1323511,1499466,93,John Davis
456,Apartment,Downtown,805155,816604,17,Tom Davis
457,House,South Lake Union,664296,794266,13,David Davis
458,Condo,South Lake Union,1421128,1499211,24,David Williams
459,House,Ballard,519834,480377,115,Lisa Johnson
460,Condo,Ballard,937314,1109519,27,Emily Davis
461,Apartment,Northgate,594006,687553,54,David Johnson
462,Condo,Northgate,805252,889618,73,Sarah Smith
463,Condo,South Lake Union,963096,1046448,94,Tom Williams
464,Condo,Downtown,1010238,1028301,11,Emily Jones
465,Condo,Capitol Hill,620257,676524,82,Mike Davis
466,Apartment,Capitol Hill,1373310,1425158,35,Jane Brown
467,House,Downtown,881479,991119,73,Jane Smith
468,House,Capitol Hill,337139,323951,98,Sarah Brown
469,Condo,West Seattle,751255,747187,67,Mike Davis
470,Apartment,Ballard,1232144,1217085,19,Lisa Moore
471,House,Northgate,1123109,1308020,103,David Smith
472,House,Ballard,883986,972540,67,Sarah Jones
473,Apartment,Beacon Hill,578671,649422,102,Sarah Wilson
474,Apartment,Ballard,476858,545025,100,Sarah Jones
475,Condo,Ballard,1356997,1397721,104,Lisa Smith
476,House,Capitol Hill,392951,374171,5,Lisa Davis
477,Apartment,Beacon Hill,1361124,1458077,13,Laura Moore
478,Condo,Ballard,1413423,1418539,62,John Miller
479,Apartment,Capitol Hill,683951,803275,95,David Williams
480,Condo,Capitol Hill,859074,778622,16,John Brown
481,Condo,South Lake Union,1363537,1606668,109,Tom Taylor
482,Condo,South Lake Union,1121759,1288938,49,Lisa Smith
483,Apartment,Capitol Hill,537188,555489,46,David Miller
484,House,Downtown,514925,485920,25,Tom Jones
485,Apartment,South Lake Union,1064772,1078471,111,Laura Jones
486,Apartment,Capitol Hill,1431416,1687592,113,John Miller
487,Apartment,Downtown,995841,955653,68,Tom Jones
488,House,Downtown,1497422,1590416,108,Mike Wilson
489,House,Northgate,337771,403804,11,Sarah Taylor
490,Apartment,Capitol Hill,518327,468172,53,Emily Brown
491,Apartment,Ballard,645730,657007,89,Emily Johnson
492,Apartment,South Lake Union,1065641,1051723,28,Laura Johnson
493,House,Ballard,617278,635832,47,David Williams
494,House,Downtown,673367,793022,10,Emily Smith
495,Apartment,Ballard,1265853,1194399,84,Tom Jones
